Date,Claims,Manipulate,Questionable,Stagnant,Distressed,Understate,Outperformed,Favourable,Consistent,Poised
1/1/2018,129000,2260,5,3,10,0,2190,4,3400,3420
2/1/2018,130000,2460,10,9,1180,3,2000,947,3400,3290
3/1/2018,133000,2260,902,6,1180,5,1890,8,3090,3070
4/1/2018,144000,2260,903,5,1110,5,1790,949,3280,3420
5/1/2018,131000,2600,904,576,1130,4,2050,7,3320,3330
6/1/2018,135000,2550,3,3,6,0,9,4,3400,9
7/1/2018,128000,1960,4,2,1080,,8,7,3250,3420
8/1/2018,135000,2130,836,9,1180,3,2130,946,3220,3090
9/1/2018,142000,2370,904,568,1180,7,1970,819,3050,3070
10/1/2018,731000,4990,1910,7,2440,5,4530,2180,7200,7320
11/1/2018,158000,2530,1010,6,1190,7,2880,9,3770,4030
12/1/2018,152000,2610,1010,6,1270,0,2840,1090,4050,3360
13/1/2018,171000,2930,7,2,,,7,6,4050,4050
14/1/2018,160000,7,4,,1270,0,3040,3,4050,3950
15/1/2018,162000,2740,930,605,1270,0,2550,1230,3780,3720
16/1/2018,150000,2810,1010,10,1270,2,2110,1150,3480,4120
17/1/2018,149000,2690,1010,9,1270,4,2960,1160,3950,3860
18/1/2018,153000,2760,1010,600,1170,,2860,1230,3920,3300
19/1/2018,161000,2610,6,5,1270,5,2570,1230,4050,3880
20/1/2018,142000,10,10,3,8,2,4,3,8,3960
21/1/2018,170000,2780,5,2,1270,2,10,5,3410,3390
22/1/2018,167000,2700,1010,9,1270,5,2930,1140,3710,3820
23/1/2018,161000,3080,1010,10,1200,5,2840,8,3900,3910
24/1/2018,150000,2460,1010,9,1210,5,2730,1150,3950,3700
25/1/2018,167000,2760,1010,8,1210,6,2490,1230,3390,3910
26/1/2018,160000,2790,1010,5,1270,3,2690,8,3370,3620
27/1/2018,160000,2890,8,4,8,,4,4,4050,4000
28/1/2018,161000,3000,4,2,8,2,9,6,4050,3890
1/2/2018,170000,2980,1010,600,1210,3,2590,1110,3830,3810
2/2/2018,170000,2180,929,600,1270,5,2360,1100,3780,3920
3/2/2018,170000,2530,6,,9,4,7,3,4050,3590
4/2/2018,170000,3040,4,3,2,,2640,2,3820,4090
5/2/2018,157000,2530,1010,6,1270,7,2600,3,3820,3770
6/2/2018,158000,2380,1010,9,1270,9,2710,1060,4050,3890
7/2/2018,152000,2730,1010,7,1120,2,2730,1090,3650,3890
8/2/2018,172000,2870,930,8,1270,6,2470,1230,3970,3420
9/2/2018,153000,2730,10,9,1200,3,2810,10,3890,3980
10/2/2018,149000,9,7,2,10,,8,3,3850,4030
11/2/2018,208000,2530,5,4,8,,6,5,3880,4000
12/2/2018,146000,2710,1010,5,1270,3,2960,9,4050,3860
13/2/2018,160000,2720,1010,4,1270,3,2530,1230,3870,3840
14/2/2018,171000,2430,920,10,1220,4,2900,1050,3970,3980
15/2/2018,179000,2670,10,7,1270,8,2350,1230,3600,3780
16/2/2018,160000,2610,925,4,1260,,2660,1230,3930,3940
17/2/2018,172000,8,3,,8,4,4,3,4130,10
18/2/2018,150000,2610,3,2,4,,2860,4,4090,3960
19/2/2018,170000,2420,1010,3,1270,4,2570,1160,4090,3800
20/2/2018,163000,2490,931,3,1200,,2570,1230,3750,3870
21/2/2018,350000,3100,1070,564,1220,6,2730,1090,3870,4380
22/2/2018,250000,3100,1140,10,1390,2,2810,1130,4220,4490
23/2/2018,187000,3100,10,9,1330,3,3190,8,4340,4570
24/2/2018,10,2910,7,4,5,2,7,7,3930,9
25/2/2018,234000,3100,9,2,4,,9,4,4580,4370
