Date,Open,High,Low,Close,Adj Close,Volume,Daily Percentage Change,Claims,Manipulate,Questionable,Stagnant,Distressed,Understate,Outperformed,Favourable,Consistent,Poised
2/1/2018,29.780001000000002,30.01,29.6,29.82,29.82,49800,0.13431497198404432,130000,2460.0,10.0,9.0,1180.0,3.0,2000,947.0,3400.0,3290.0
3/1/2018,29.969998999999998,30.110001,29.93,30.0,30.0,47100,0.10010344011023213,133000,2260.0,902.0,6.0,1180.0,5.0,1890,8.0,3090.0,3070.0
4/1/2018,30.049999,30.15,30.01,30.1,30.1,16900,0.16639268440575236,144000,2260.0,903.0,5.0,1110.0,5.0,1790,949.0,3280.0,3420.0
5/1/2018,30.73,30.969998999999998,30.709999,30.879998999999998,30.879998999999998,36400,0.48811910185485696,131000,2600.0,904.0,576.0,1130.0,4.0,2050,7.0,3320.0,3330.0
8/1/2018,31.33,31.799999,31.33,31.5,31.5,44800,0.5426109160549049,135000,2130.0,836.0,9.0,1180.0,3.0,2130,946.0,3220.0,3090.0
9/1/2018,31.440001000000002,31.48,31.370001000000002,31.41,31.41,43900,-0.09542302495474528,142000,2370.0,904.0,568.0,1180.0,7.0,1970,819.0,3050.0,3070.0
10/1/2018,31.549999,31.799999,31.450001,31.51,31.51,47000,-0.12677971875687893,731000,4990.0,1910.0,7.0,2440.0,5.0,4530,2180.0,7200.0,7320.0
11/1/2018,31.42,31.629998999999998,31.34,31.629998999999998,31.629998999999998,31100,0.66836091661361,158000,2530.0,1010.0,6.0,1190.0,7.0,2880,9.0,3770.0,4030.0
12/1/2018,31.35,31.58,31.35,31.57,31.57,24900,0.7017543859649087,152000,2610.0,1010.0,6.0,1270.0,0.0,2840,1090.0,4050.0,3360.0
16/1/2018,31.629998999999998,31.629998999999998,31.059998999999998,31.08,31.08,36600,-1.7388524103336194,150000,2810.0,1010.0,10.0,1270.0,2.0,2110,1150.0,3480.0,4120.0
17/1/2018,31.139999,31.32,31.030001000000002,31.299999,31.299999,17500,0.5138086227941117,149000,2690.0,1010.0,9.0,1270.0,4.0,2960,1160.0,3950.0,3860.0
18/1/2018,31.07,31.07,30.780001000000002,30.860001,30.860001,53800,-0.6758899259736074,153000,2760.0,1010.0,600.0,1170.0,,2860,1230.0,3920.0,3300.0
19/1/2018,31.65,31.99,31.65,31.959999,31.959999,56000,0.9794597156398145,161000,2610.0,6.0,5.0,1270.0,5.0,2570,1230.0,4050.0,3880.0
22/1/2018,32.209998999999996,32.599998,32.209998999999996,32.470001,32.470001,38400,0.8072089663834116,167000,2700.0,1010.0,9.0,1270.0,5.0,2930,1140.0,3710.0,3820.0
23/1/2018,32.630001,32.77,32.59,32.650002,32.650002,21700,0.06129635117081548,161000,3080.0,1010.0,10.0,1200.0,5.0,2840,8.0,3900.0,3910.0
24/1/2018,32.490002000000004,32.77,32.330002,32.439999,32.439999,22200,-0.15390272983056075,150000,2460.0,1010.0,9.0,1210.0,5.0,2730,1150.0,3950.0,3700.0
25/1/2018,32.380001,32.689999,32.349998,32.389998999999996,32.389998999999996,19000,0.03087708366653835,167000,2760.0,1010.0,8.0,1210.0,6.0,2490,1230.0,3390.0,3910.0
26/1/2018,33.119999,33.380001,33.099998,33.34,33.34,64500,0.6642542471091363,160000,2790.0,1010.0,5.0,1270.0,3.0,2690,8.0,3370.0,3620.0
1/2/2018,32.27,32.5,32.09,32.110001000000004,32.110001000000004,28000,-0.4958134490238584,170000,2980.0,1010.0,600.0,1210.0,3.0,2590,1110.0,3830.0,3810.0
2/2/2018,32.0,32.139998999999996,31.49,31.5,31.5,42600,-1.5625,170000,2180.0,929.0,600.0,1270.0,5.0,2360,1100.0,3780.0,3920.0
